Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
544225,OLAELEC,B,75.99,91.18,75.99,91.18,47586972,40181.24,178565
532667,SUZLON,A,74.60,76.59,73.00,76.58,28535917,21556.09,88393
532822,IDEA,A,16.25,16.35,16.00,16.11,31093004,5031.33,83252
500113,SAIL,A,135.65,137.15,129.00,129.40,6007529,7954.72,57924
543320,ZOMATO,A,267.35,272.90,265.70,266.90,4996447,13474.13,49186
532775,GTLINFRA,A,2.89,2.92,2.80,2.81,28425230,808.10,39039
500106,IFCI,A,72.51,74.17,70.40,70.72,6031924,4336.19,37234
534309,NBCC,A,170.95,188.50,169.60,184.70,4025984,7364.51,35728
500470,TATASTEEL,A,153.00,153.00,151.25,151.80,2084284,3169.57,34973
544026,IREDA,B,251.75,251.75,242.25,243.40,2299048,5654.76,31713
542649,RVNL,A,536.65,538.00,514.00,518.15,1542658,8040.28,31554
532648,YESBANK,A,24.20,24.32,23.86,23.93,13830715,3332.47,31384
542752,AFFLE,A,1501.05,1634.40,1496.15,1596.75,290956,4597.01,30707
543940,JIOFIN,A,330.55,330.55,324.60,325.60,1427712,4673.24,29385
500400,TATAPOWER,A,425.30,425.30,416.30,417.80,1165015,4891.69,29206
543237,MAZDOCK,A,4965.00,5150.00,4895.50,4917.25,183929,9206.06,27509
532627,JPPOWER,A,17.21,17.84,17.05,17.53,13840105,2404.82,27293
500312,ONGC,A,333.00,335.75,328.30,332.60,2666278,8846.45,26536
532922,EDELWEISS,A,71.45,84.60,71.45,81.51,4984676,3899.97,26430
533098,NHPC,A,99.15,99.80,97.35,97.75,3354969,3304.31,25820
500251,TRENT,A,5755.70,6375.00,5628.05,6276.90,236259,14490.72,24335
541956,IRCON,A,270.60,274.70,263.65,264.70,1625722,4335.02,22139
543720,KFINTECH,A,919.95,1090.85,916.20,1084.15,687194,7051.00,21090
523558,SWISSMLTRY,X,26.90,32.29,25.10,31.33,10114278,3033.39,21023
533106,OIL,A,619.65,656.00,611.75,643.95,974751,6250.14,19967
500300,GRASIM,A,2575.00,2639.95,2538.95,2572.60,62443,1616.07,19846
532939,RPOWER,A,31.38,32.34,30.90,32.31,8711453,2782.17,19841
500183,HFCL,A,137.70,138.15,131.55,132.40,3599983,4840.48,19338
500049,BEL,A,302.05,305.05,300.65,301.95,1423760,4308.51,19333
532483,CANBK,A,108.15,112.50,107.70,110.60,2350690,2582.73,19091
500116,IDBI,A,96.00,98.80,94.30,98.15,1838084,1784.31,19012
500570,TATAMOTORS,A,1059.55,1082.65,1052.00,1067.45,624743,6690.59,18791
500325,RELIANCE,A,2927.70,2954.05,2912.05,2948.30,381256,11224.84,18590
543257,IRFC,A,181.45,182.50,179.00,179.80,1920445,3465.00,17947
500180,HDFCBANK,A,1655.95,1662.50,1646.10,1649.50,485526,8028.13,17882
500477,ASHOKLEY,A,247.50,254.60,247.50,253.15,973341,2457.00,17663
500112,SBIN,A,816.80,829.90,809.85,824.20,822817,6744.02,17572
540975,ASTERDM,A,402.00,409.95,392.55,407.80,3318975,13291.38,17538
500390,RELINFRA,A,211.00,232.10,209.85,230.00,879355,1965.04,16159
544021,PROTEAN,B,1852.00,1934.80,1830.00,1903.85,826275,15558.66,15465
500108,MTNL,A,66.42,67.17,63.46,63.46,5130216,3279.16,15319
500117,DCW,A,71.94,80.67,71.93,79.17,3416485,2629.28,15066
532454,BHARTIARTL,A,1474.65,1482.15,1458.00,1463.90,253821,3728.17,14818
539807,INFIBEAM,A,33.43,34.17,33.14,33.32,4334075,1457.71,14770
532555,NTPC,A,414.70,416.40,408.10,410.20,714541,2937.10,14583
540678,COCHINSHIP,A,2444.80,2490.00,2369.15,2380.30,125154,3038.86,14558
532187,INDUSINDBK,A,1368.65,1368.65,1338.15,1350.20,260896,3511.68,14429
500209,INFY,A,1774.65,1779.90,1756.55,1770.85,273636,4841.54,13885
512573,AVANTIFEED,A,681.00,791.10,674.80,772.75,550703,4068.81,13742
539437,IDFCFIRSTB,A,72.71,73.68,72.50,72.86,1892366,1382.54,13586
532174,ICICIBANK,A,1183.60,1183.60,1168.95,1171.95,397128,4661.40,13568
506590,PCBL,A,409.35,409.35,392.05,395.60,594374,2378.43,13441
532540,TCS,A,4227.95,4251.50,4215.00,4230.05,169602,7179.27,13351
531344,CONCOR,A,999.55,1006.90,969.00,980.55,287236,2820.64,13344
543271,JUBLINGREA,A,670.00,717.00,667.65,708.55,124124,862.91,12365
539040,TTIL,XT,32.63,32.65,32.62,32.65,3983415,1300.30,12265
532947,IRB,A,64.32,64.44,61.64,61.98,1854585,1173.17,12265
532321,ZYDUSLIFE,A,1296.15,1323.90,1283.95,1301.45,139615,1819.62,12219
539056,IMAGICAA,B,90.00,96.20,87.84,94.81,2118654,1975.16,12164
500103,BHEL,A,302.00,305.70,299.30,302.30,1041224,3148.69,12054
543526,LICI,A,1156.70,1159.60,1128.95,1133.60,245916,2799.00,11971
532810,PFC,A,501.35,509.35,495.45,500.10,443477,2224.20,11871
526371,NMDC,A,225.85,226.10,218.50,221.45,612361,1360.06,11706
500875,ITC,A,498.65,498.65,493.25,495.75,474013,2347.62,11672
532461,PNB,A,115.50,116.45,113.85,115.20,1787060,2057.39,11545
500295,VEDL,A,427.05,432.30,423.55,428.70,511939,2193.66,11143
532215,AXISBANK,A,1153.60,1156.05,1140.40,1143.65,309408,3548.32,11109
500185,HCC,A,47.40,48.25,46.54,47.79,3570730,1692.64,11105
532523,BIOCON,A,338.75,344.00,332.90,336.65,495864,1673.44,10976
532218,SOUTHBANK,A,25.15,25.17,24.90,25.00,2218407,554.97,10572
540879,APOLLO,B,113.15,120.10,111.60,112.80,1220730,1407.93,10475
500877,APOLLOTYRE,A,510.05,510.05,489.85,492.05,240861,1194.95,10457
509496,ITDCEM,A,564.75,582.60,547.00,559.40,468680,2644.00,10339
542753,SEACOAST,XT,5.60,5.88,5.59,5.88,8306046,480.01,10117
542011,GRSE,A,2130.05,2159.80,2031.75,2054.90,78874,1643.95,10017
513377,MMTC,A,102.50,103.35,97.35,100.00,936002,941.49,9992
500034,BAJFINANCE,A,6700.00,6700.00,6591.00,6619.00,49513,3273.22,9963
507685,WIPRO,A,495.90,496.50,489.75,491.30,280842,1380.89,9944
505200,EICHERMOT,A,4780.05,4854.30,4733.95,4829.85,79955,3836.01,9860
500696,HINDUNILVR,A,2752.00,2752.90,2720.00,2748.60,185715,5090.59,9717
532407,MOSCHIP,T,257.00,262.30,245.00,246.05,721606,1798.76,9628
500520,M&M,A,2739.45,2765.75,2714.00,2748.45,105297,2886.06,9563
590030,SPIC,B,83.20,91.19,81.81,87.82,921599,815.82,9549
539277,ALSTONE,X,0.82,0.84,0.79,0.80,11205046,91.21,9542
543482,EUREKAFORBE,A,475.00,488.00,462.30,466.85,663055,3114.34,9376
532371,TTML,A,96.19,96.57,92.60,92.89,937282,880.10,9273
540530,HUDCO,A,292.85,299.00,288.25,292.30,727362,2133.49,9267
531216,COMFINTE,X,17.40,17.43,16.11,16.29,2917484,482.47,9123
543811,AIRAN,B,33.47,38.89,33.47,37.77,853714,316.01,9116
533655,TRITURBINE,A,719.80,724.40,672.10,695.85,229061,1597.66,9066
532281,HCLTECH,A,1589.00,1601.95,1575.05,1590.45,145214,2311.43,9034
500253,LICHSGFIN,A,648.70,649.00,635.00,638.30,284792,1837.09,8988
521064,TRIDENT,A,38.60,38.60,37.64,37.91,1235990,470.83,8929
524715,SUNPHARMA,A,1754.45,1754.45,1732.25,1735.25,101698,1767.03,8842
532209,J&KBANK,A,114.35,114.95,112.35,113.10,638446,723.32,8736
532525,MAHABANK,A,63.29,63.29,61.74,61.92,1112726,692.42,8672
512149,AVANCE,XT,0.90,0.90,0.88,0.89,9602675,85.26,8577
