"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 21-Aug-2023"
"NIFTY 50","24,648.90","24,734.30","24,607.20","24,572.65","24,698.85","126.20","0.51","23,83,18,940","25,478.61","25,078.30","18,837.85","0.68","27.36"
"SBILIFE","1,672.80","1,770.80","1,672.75","1,671.55","1,763.20","91.65","5.48","39,51,662","688.35","1,791.15","1,264.35","6.89","37.76"
"HDFCLIFE","687.00","713.00","684.05","685.70","709.55","23.85","3.48","68,28,474","481.46","722.50","511.40","11.75","13.67"
"BAJAJFINSV","1,554.95","1,624.90","1,551.50","1,551.10","1,604.00","52.90","3.41","31,49,863","503.23","1,741.00","1,419.05","-2.33","8.37"
"INDUSINDBK","1,363.90","1,391.65","1,357.20","1,347.60","1,382.00","34.40","2.55","55,07,239","759.27","1,694.50","1,329.20","-3.57","-1.18"
"SHRIRAMFIN","3,118.00","3,177.00","3,052.30","3,075.60","3,149.25","73.65","2.39","24,29,911","761.91","3,177.00","1,760.85","12.42","71.43"
"TECHM","1,601.00","1,633.65","1,595.25","1,594.65","1,629.00","34.35","2.15","24,42,281","395.65","1,633.65","1,098.15","9.20","33.62"
"HINDALCO","663.00","674.30","661.05","658.85","672.00","13.15","2.00","1,02,95,836","688.24","715.25","439.90","1.49","49.73"
"GRASIM","2,608.00","2,648.90","2,589.05","2,598.40","2,638.50","40.10","1.54","6,85,479","180.17","2,877.75","1,758.05","-3.88","45.80"
"BAJFINANCE","6,647.35","6,773.90","6,616.35","6,616.35","6,710.40","94.05","1.42","9,57,159","642.66","8,192.00","6,187.80","-3.03","-4.63"
"KOTAKBANK","1,783.00","1,813.05","1,776.25","1,781.35","1,805.90","24.55","1.38","31,15,486","562.11","1,926.50","1,543.85","-0.88","2.57"
"EICHERMOT","4,848.90","4,898.00","4,824.30","4,813.30","4,878.75","65.45","1.36","5,23,506","255.26","5,058.90","3,275.00","0.67","45.10"
